年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2018,语文,海南,老高考,2020,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（海南）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_海南_新课标全国II卷_原卷.pdf,2
2018,语文,重庆,老高考,2021,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2012-2024·（重庆）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_重庆_新课标全国II卷_原卷.pdf,2
2018,语文,四川,老高考,2025,全国卷,common,新课标全国III卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（四川）语文高考真题\2018年高考语文试卷（新课标Ⅲ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国III卷/2018_语文_四川_新课标全国III卷_原卷.pdf,2
2018,语文,贵州,老高考,2024,全国卷,common,新课标全国III卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（贵州）语文高考真题\2018年高考语文试卷（新课标Ⅲ卷）（空白卷）(1).pdf,papers/2018/语文/全国/新课标全国III卷/2018_语文_贵州_新课标全国III卷_原卷.pdf,3
2018,语文,云南,老高考,2025,全国卷,common,新课标全国III卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（云南）语文高考真题\2018年高考语文试卷（新课标Ⅲ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国III卷/2018_语文_云南_新课标全国III卷_原卷.pdf,2
2018,语文,西藏,老高考,,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（西藏）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_西藏_新课标全国II卷_原卷.pdf,2
2018,语文,陕西,老高考,2025,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（陕西）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_陕西_新课标全国II卷_原卷.pdf,2
2018,语文,甘肃,老高考,2024,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（甘肃）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_甘肃_新课标全国I卷_原卷.pdf,3
2018,语文,青海,老高考,2025,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（青海）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_青海_新课标全国II卷_原卷.pdf,2
2018,语文,宁夏,老高考,2025,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（宁夏）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_宁夏_新课标全国II卷_原卷.pdf,2
2018,语文,新疆,老高考,,全国卷,common,新课标全国II卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（新疆）语文高考真题\2018年高考语文试卷（新课标Ⅱ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国II卷/2018_语文_新疆_新课标全国II卷_原卷.pdf,2
2018,数学,北京,老高考,2020,地方/区域卷,local,北京卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（北京）数学高考真题\2018年高考数学试卷（文）（北京）（空白卷）.pdf,papers/2018/数学/北京/北京卷/2018_数学_北京_北京卷_原卷.pdf,4
2018,数学,天津,老高考,2020,地方/区域卷,local,天津卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（天津）数学高考真题\2018年高考数学试卷（文）（天津）（空白卷）.pdf,papers/2018/数学/天津/天津卷/2018_数学_天津_天津卷_原卷.pdf,4
2018,数学,河北,老高考,2021,全国卷,common,河北卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（河北）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/河北卷/2018_数学_河北_河北卷_原卷.pdf,4
2018,数学,山西,老高考,2025,全国卷,common,山西卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（山西）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/山西卷/2018_数学_山西_山西卷_原卷.pdf,4
2018,数学,内蒙古,老高考,2025,全国卷,common,内蒙古卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（内蒙古）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/内蒙古卷/2018_数学_内蒙古_内蒙古卷_原卷.pdf,4
2018,数学,辽宁,老高考,2021,全国卷,common,辽宁卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（辽宁）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/辽宁卷/2018_数学_辽宁_辽宁卷_原卷.pdf,4
2018,数学,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（吉林）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/吉林卷/2018_数学_吉林_吉林卷_原卷.pdf,4
2018,数学,黑龙江,老高考,2024,全国卷,common,黑龙江卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（黑龙江）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/黑龙江卷/2018_数学_黑龙江_黑龙江卷_原卷.pdf,4
2018,数学,上海,新高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（上海）数学高考真题\2018年高考数学试卷（上海）（春考）（空白卷）.pdf,papers/2018/数学/上海/上海卷/2018_数学_上海_上海卷_原卷.pdf,4
2018,数学,江苏,老高考,2021,地方/区域卷,local,江苏卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（江苏）数学高考真题\2018年高考数学试卷（江苏）（空白卷）.pdf,papers/2018/数学/江苏/江苏卷/2018_数学_江苏_江苏卷_原卷.pdf,2
2018,数学,浙江,新高考,2017,地方/区域卷,local,浙江卷,present_local,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（浙江）数学高考真题\2018年高考数学试卷（浙江）（空白卷）.pdf,papers/2018/数学/浙江/浙江卷/2018_数学_浙江_浙江卷_原卷.pdf,2
2018,数学,安徽,老高考,2024,全国卷,common,安徽卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2012-2024·（安徽）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/安徽卷/2018_数学_安徽_安徽卷_原卷.pdf,4
2018,数学,福建,老高考,2021,全国卷,common,福建卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2012-2024·（福建）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/福建卷/2018_数学_福建_福建卷_原卷.pdf,4
2018,数学,江西,老高考,2024,全国卷,common,江西卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（江西）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/江西卷/2018_数学_江西_江西卷_原卷.pdf,4
2018,数学,山东,老高考,2020,全国卷,common,山东卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（山东）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/山东卷/2018_数学_山东_山东卷_原卷.pdf,4
2018,数学,河南,老高考,2025,全国卷,common,河南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（河南）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/河南卷/2018_数学_河南_河南卷_原卷.pdf,4
2018,数学,湖北,老高考,2021,全国卷,common,湖北卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2012-2024·（湖北）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/湖北卷/2018_数学_湖北_湖北卷_原卷.pdf,4
