年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,政治,海南,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,重庆,新高考,2021,地方/区域卷,local,重庆卷,missing,../../../..,../../../..,../../../..,,
2025,政治,四川,新高考,2025,地方/区域卷,local,四川卷,missing,../../../..,../../../..,../../../..,,
2025,政治,贵州,新高考,2024,地方/区域卷,local,贵州卷,missing,../../../..,../../../..,../../../..,,
2025,政治,云南,新高考,2025,地方/区域卷,local,云南卷,done,../../papers/2025/政治/云南/云南卷/2025_政治_云南卷_原卷.pdf,../../papers/2025/政治/云南/云南卷/2025_政治_云南卷_OCR与考点.md,,pypdf,20
2025,政治,西藏,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,陕西,新高考,2025,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,甘肃,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,青海,新高考,2025,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,宁夏,新高考,2025,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,新疆,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,北京,新高考,2020,地方/区域卷,local,北京卷,done,../../papers/2025/历史/北京/北京卷/2025_历史_北京卷_原卷.pdf,../../papers/2025/历史/北京/北京卷/2025_历史_北京卷_OCR与考点.md,,pypdf,18
2025,历史,天津,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,河北,新高考,2021,地方/区域卷,local,河北卷,missing,../../../..,../../../..,../../../..,,
2025,历史,山西,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/历史/山西/山西卷/2025_历史_山西卷_原卷.pdf,../../papers/2025/历史/山西/山西卷/2025_历史_山西卷_OCR与考点.md,,pypdf,14
2025,历史,内蒙古,新高考,2025,地方/区域卷,local,内蒙古卷,done,../../papers/2025/历史/内蒙古/内蒙古卷/2025_历史_内蒙古卷_原卷.pdf,../../papers/2025/历史/内蒙古/内蒙古卷/2025_历史_内蒙古卷_OCR与考点.md,,pypdf,15
2025,历史,辽宁,新高考,2021,地方/区域卷,local,内蒙古卷,done,../../papers/2025/历史/辽宁/内蒙古卷/2025_历史_辽宁内蒙古卷_原卷.pdf,../../papers/2025/历史/辽宁/内蒙古卷/2025_历史_辽宁内蒙古卷_OCR与考点.md,,pypdf,15
