年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2020,物理,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/物理/浙江/浙江卷/2020_物理_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/浙江/浙江卷/2020_物理_浙江卷_OCR与考点.md),,pypdf,11
2020,物理,山东,新高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2020/物理/山东/山东卷/2020_物理_山东卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/山东/山东卷/2020_物理_山东卷_OCR与考点.md),,pypdf,11
2020,物理,海南,新高考,2020,地方/区域卷,local,海南卷,done,[打开试卷](../../papers/2020/物理/海南/海南卷/2020_物理_海南卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/海南/海南卷/2020_物理_海南卷_OCR与考点.md),,pypdf,7
2020,化学,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/化学/北京/北京卷/2020_化学_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/化学/北京/北京卷/2020_化学_北京卷_OCR与考点.md),,pypdf,9
2020,化学,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/化学/天津/天津卷/2020_化学_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/化学/天津/天津卷/2020_化学_天津卷_OCR与考点.md),,pypdf,8
2020,化学,上海,新高考,2017,地方/区域卷,local,上海卷,pdf_only,[打开试卷](../../papers/2020/化学/上海/上海卷/2020_化学_上海卷_原卷.pdf),,,,
2020,化学,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/化学/浙江/浙江卷/2020_化学_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/化学/浙江/浙江卷/2020_化学_浙江卷_OCR与考点.md),,pypdf,11
2020,化学,山东,新高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2020/化学/山东/山东卷/2020_化学_山东卷_原卷.pdf),[打开Markdown](../../papers/2020/化学/山东/山东卷/2020_化学_山东卷_OCR与考点.md),,pypdf,10
2020,化学,海南,新高考,2020,地方/区域卷,local,海南卷,done,[打开试卷](../../papers/2020/化学/海南/海南卷/2020_化学_海南卷_原卷.pdf),[打开Markdown](../../papers/2020/化学/海南/海南卷/2020_化学_海南卷_OCR与考点.md),,pypdf,8
2020,生物,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/生物/北京/北京卷/2020_生物_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/北京/北京卷/2020_生物_北京卷_OCR与考点.md),,pypdf,11
2020,生物,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/生物/天津/天津卷/2020_生物_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/天津/天津卷/2020_生物_天津卷_OCR与考点.md),,pypdf,9
2020,生物,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2020/生物/上海/上海卷/2020_生物_上海卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/上海/上海卷/2020_生物_上海卷_OCR与考点.md),,pypdf,9
2020,生物,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/生物/浙江/浙江卷/2020_生物_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/浙江/浙江卷/2020_生物_浙江卷_OCR与考点.md),,pypdf,9
2020,生物,山东,新高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2020/生物/山东/山东卷/2020_生物_山东卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/山东/山东卷/2020_生物_山东卷_OCR与考点.md),,pypdf,10
2020,生物,海南,新高考,2020,地方/区域卷,local,海南卷,done,[打开试卷](../../papers/2020/生物/海南/海南卷/2020_生物_海南卷_原卷.pdf),[打开Markdown](../../papers/2020/生物/海南/海南卷/2020_生物_海南卷_OCR与考点.md),,pypdf,8
2020,政治,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/政治/北京/北京卷/2020_政治_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/政治/北京/北京卷/2020_政治_北京卷_OCR与考点.md),,pypdf,9
2020,政治,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/政治/天津/天津卷/2020_政治_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/政治/天津/天津卷/2020_政治_天津卷_OCR与考点.md),,pypdf,7
2020,政治,上海,新高考,2017,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2020,政治,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/政治/浙江/浙江卷/2020_政治_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/政治/浙江/浙江卷/2020_政治_浙江卷_OCR与考点.md),,pypdf,8
2020,政治,山东,新高考,2020,地方/区域卷,local,山东卷,done,[打开试卷](../../papers/2020/政治/山东/山东卷/2020_政治_山东卷_原卷.pdf),[打开Markdown](../../papers/2020/政治/山东/山东卷/2020_政治_山东卷_OCR与考点.md),,pypdf,8
2020,政治,海南,新高考,2020,地方/区域卷,local,海南卷,done,[打开试卷](../../papers/2020/政治/海南/海南卷/2020_政治_海南卷_原卷.pdf),[打开Markdown](../../papers/2020/政治/海南/海南卷/2020_政治_海南卷_OCR与考点.md),,pypdf,8
2020,历史,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/历史/北京/北京卷/2020_历史_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/历史/北京/北京卷/2020_历史_北京卷_OCR与考点.md),,pypdf,8
2020,历史,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/历史/天津/天津卷/2020_历史_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/历史/天津/天津卷/2020_历史_天津卷_OCR与考点.md),,pypdf,7
2020,历史,上海,新高考,2017,,missing,,missing,[打开试卷](../../../..),[打开Markdown](../../../..),[打开听力](../../../..),,
2020,历史,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/历史/浙江/浙江卷/2020_历史_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/历史/浙江/浙江卷/2020_历史_浙江卷_OCR与考点.md),,pypdf,9
